frame_number,time_relative,src_ip,dst_ip,src_port,dst_port,packet_length,protocol,http_method,http_uri
1,0.000000000,192.168.31.54,192.168.31.9,65443,9000,66,TCP,,
2,0.000033092,192.168.31.9,192.168.31.54,9000,65443,66,TCP,,
3,0.000471958,192.168.31.54,192.168.31.9,65443,9000,60,TCP,,
4,0.000472188,192.168.31.54,192.168.31.9,65443,9000,342,HTTP,GET,/safe
5,0.000511111,192.168.31.9,192.168.31.54,9000,65443,54,TCP,,
6,0.002007636,192.168.31.9,192.168.31.54,9000,65443,179,TCP,,
7,0.002205448,192.168.31.9,192.168.31.54,9000,65443,89,HTTP/JSON,,/safe
8,0.002410323,192.168.31.54,192.168.31.9,65443,9000,60,TCP,,
9,5.003461108,192.168.31.9,192.168.31.54,9000,65443,54,TCP,,
10,5.003999841,192.168.31.54,192.168.31.9,65443,9000,60,TCP,,
11,50.018751799,192.168.31.54,192.168.31.9,65443,9000,60,TCP,,
12,50.018778610,192.168.31.9,192.168.31.54,9000,65443,54,TCP,,
