frame_number,time_relative,src_ip,dst_ip,src_port,dst_port,packet_length,protocol,http_method,http_uri
1,0.000000000,192.168.31.54,192.168.31.9,61275,9000,60,TCP,,
2,0.000045165,192.168.31.9,192.168.31.54,9000,61275,54,TCP,,
3,0.000287470,192.168.31.54,192.168.31.9,51418,9000,66,TCP,,
4,0.000384402,192.168.31.9,192.168.31.54,9000,51418,66,TCP,,
5,0.000671600,192.168.31.54,192.168.31.9,51418,9000,60,TCP,,
6,0.001008623,192.168.31.54,192.168.31.9,51418,9000,342,HTTP,GET,/safe
7,0.001019593,192.168.31.9,192.168.31.54,9000,51418,54,TCP,,
8,0.010666933,192.168.31.9,192.168.31.54,9000,51418,179,TCP,,
9,0.010852441,192.168.31.9,192.168.31.54,9000,51418,89,HTTP/JSON,,/safe
10,0.011009717,192.168.31.54,192.168.31.9,51418,9000,60,TCP,,
11,5.012586722,192.168.31.9,192.168.31.54,9000,51418,54,TCP,,
12,5.012985190,192.168.31.54,192.168.31.9,51418,9000,60,TCP,,
13,25.495932183,192.168.31.54,192.168.31.9,51418,9000,60,TCP,,
14,25.495973410,192.168.31.9,192.168.31.54,9000,51418,54,TCP,,
15,59.996371749,192.168.31.54,192.168.31.9,50090,9000,66,TCP,,
16,59.996444596,192.168.31.9,192.168.31.54,9000,50090,66,TCP,,
17,59.996704894,192.168.31.54,192.168.31.9,50090,9000,60,TCP,,
18,59.996883700,192.168.31.54,192.168.31.9,50090,9000,342,HTTP,GET,/safe
19,59.996893117,192.168.31.9,192.168.31.54,9000,50090,54,TCP,,
20,59.998257585,192.168.31.9,192.168.31.54,9000,50090,179,TCP,,
21,59.998437663,192.168.31.9,192.168.31.54,9000,50090,89,HTTP/JSON,,/safe
22,59.998563038,192.168.31.54,192.168.31.9,50090,9000,60,TCP,,
23,65.000676511,192.168.31.9,192.168.31.54,9000,50090,54,TCP,,
24,65.000932071,192.168.31.54,192.168.31.9,50090,9000,60,TCP,,
